BusinessName,RatingValue,RatingDate,Hygiene,Structural,ConfidenceInManagement,longitude,latitude
Nine Dragons,4.0,2022-02-14T00:00:00,5,5,10,1.182753,51.08187
Luciano Pizzaria,5.0,2019-11-01T00:00:00,5,5,5,1.182753,51.08187
Kathmandu House Grilled Tandoori,4.0,2022-07-28T00:00:00,10,10,0,1.178909,51.078296
D'Agostinis Fish Bar,5.0,2016-08-04T00:00:00,5,5,5,1.186977,51.086189
Londis,5.0,2013-10-16T00:00:00,5,5,5,1.186241,51.085454
Mcdonalds Restaurant,5.0,2019-06-24T00:00:00,0,0,0,1.178909,51.078296
Lotus House,5.0,2019-01-10T00:00:00,5,5,5,1.186977,51.086189
Sunshine Coffee and Restaurant,3.0,2021-09-13T00:00:00,10,10,10,1.17911505699158,51.0785865783691
W H Smith,,1901-01-01T00:00:00,,,,1.179115,51.078587
Warrens Bakery,5.0,2019-11-11T00:00:00,0,0,0,1.1785097,51.0780695
Admiral,,1901-01-01T00:00:00,,,,1.1803396,51.0798709
Cube Cafe,5.0,2017-01-25T00:00:00,5,0,5,1.182356,51.081494
RESTOCK,5.0,2021-04-29T00:00:00,0,5,0,1.1806797,51.0802287
Fireaway Pizza Folkestone,5.0,2021-10-15T00:00:00,0,0,0,1.1784815,51.078117
Iceland,5.0,2016-03-18T00:00:00,0,0,0,1.178909,51.078296
The Rum Clinic,5.0,2017-10-26T00:00:00,0,5,5,1.178909,51.078296
The Folkestone Safe Haven,,1901-01-01T00:00:00,,,,1.1783613,51.0781968
La Princesse,3.0,2020-10-09T00:00:00,10,10,10,1.1783613,51.0781968
Boots UK Ltd,5.0,2014-05-02T00:00:00,0,0,0,1.179729,51.079632
Dover Road Social Club,5.0,2014-10-23T00:00:00,5,5,5,1.183784,51.083569
Grind n' Bake,5.0,2022-04-27T00:00:00,0,5,5,1.179729,51.079632
Galo Peri Peri,5.0,2021-10-15T00:00:00,0,5,0,1.183784,51.083569
Zen Cafe Asian Diner,5.0,2020-02-13T00:00:00,5,5,0,1.18039,51.080315
Aksular Folkestone,5.0,2021-04-21T00:00:00,0,0,5,1.18039,51.080315
Lilys American Diner,4.0,2019-12-18T00:00:00,10,0,10,1.178027,51.078131
Folkestone Beacon Plus,5.0,2021-11-11T00:00:00,0,0,0,1.1818685,51.0818613
Abercrombies Community Kitchen,5.0,2020-02-11T00:00:00,0,0,0,1.1818685,51.0818613
The Lord Morris,5.0,2012-12-05T00:00:00,5,5,5,1.179926,51.080211
The Bao Baron,5.0,2021-11-25T00:00:00,5,5,5,1.179926,51.080211
Euro Market,5.0,2020-03-05T00:00:00,5,5,5,1.179925,51.080211
Costa Coffee,5.0,2021-09-30T00:00:00,0,5,0,1.17884,51.079161
Aya Supermarket,1.0,2020-10-08T00:00:00,0,15,20,1.1799178,51.080217
